timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751381993580,436,GET POI Types,200,,Thread Group 1-1,text,true,,700,130,1,1,http://137.43.49.25:443/api/poitypes,433,0,22
1751381994019,427,GET Weather,200,,Thread Group 1-1,text,true,,18980,163,1,1,http://137.43.49.25:443/api/weather?latitude=40.728&longitude=-73.999,419,0,0
1751381994447,29,GET Zone Busyness,200,,Thread Group 1-1,text,true,,487,185,1,1,http://137.43.49.25:443/api/zones/114?predictedHours=3&dateTime=2025-07-13T09:00:00.000000Z,28,0,0
1751381994476,268,Post Account,201,,Thread Group 1-1,text,true,,582,247,1,1,http://137.43.49.25:443/api/register,267,0,0
1751381994745,257,Post Login,200,,Thread Group 1-1,,true,,490,233,1,1,http://137.43.49.25:443/api/login,257,0,0
1751381995003,23,GET CSRF Token,200,,Thread Group 1-1,text,true,,564,185,1,1,http://137.43.49.25:443/api/csrf-token,23,0,0
1751381995040,91,Post User Picture,201,,Thread Group 1-1,text,true,,578,9350,1,1,http://137.43.49.25:443/api/user/picture,91,0,0
1751381995133,18,GET User Details,200,,Thread Group 1-1,text,true,,620,231,1,1,http://137.43.49.25:443/api/user,18,0,0
1751381995154,31,GET User Picture,200,,Thread Group 1-1,bin,true,,9295,231,1,1,http://137.43.49.25:443/api/user/picture/user_602_istockphoto-1337144146-612x612.jpg,27,0,0
1751381995186,120,PUT User Details,200,,Thread Group 1-1,text,true,,620,310,1,1,http://137.43.49.25:443/api/user,120,0,0
1751381995308,286,GET Museum Recommendations,200,,Thread Group 1-1,text,true,,37238,328,1,1,http://137.43.49.25:443/api/pois?poiTypeName=museum&dateTime=2025-07-13T09:30:00.000000Z&limit=1000&transitType=bus&latitude=40.728&longitude=-73.999,265,0,0
1751381995597,69,POST Museum Travel Plan,201,,Thread Group 1-1,text,true,,634,492,1,1,http://137.43.49.25:443/api/userplans,69,0,0
1751381995669,289,GET Park Recommendations,200,,Thread Group 1-1,text,true,,245636,349,1,1,http://137.43.49.25:443/api/pois?poiTypeName=park&dateTime=2025-07-13T11:00:00.779042Z&limit=1000&transitType=walk&latitude=40.69913810666333&longitude=-74.03949152484903,169,0,0
1751381995960,37,POST Park Travel Plan,201,,Thread Group 1-1,text,true,,632,483,1,1,http://137.43.49.25:443/api/userplans,37,0,0
1751381996021,62,GET POI Types,200,,Thread Group 1-2,text,true,,700,130,2,2,http://137.43.49.25:443/api/poitypes,62,0,8
1751381996085,79,GET Weather,200,,Thread Group 1-2,text,true,,18980,163,2,2,http://137.43.49.25:443/api/weather?latitude=40.728&longitude=-73.999,72,0,0
1751381996166,23,GET Zone Busyness,200,,Thread Group 1-2,text,true,,487,185,2,2,http://137.43.49.25:443/api/zones/114?predictedHours=3&dateTime=2025-07-13T09:00:00.000000Z,22,0,0
1751381996190,154,Post Account,201,,Thread Group 1-2,text,true,,582,247,2,2,http://137.43.49.25:443/api/register,152,0,0
1751381996346,120,Post Login,200,,Thread Group 1-2,,true,,490,233,2,2,http://137.43.49.25:443/api/login,120,0,0
1751381996466,9,GET CSRF Token,200,,Thread Group 1-2,text,true,,564,185,2,2,http://137.43.49.25:443/api/csrf-token,9,0,0
1751381996476,36,Post User Picture,201,,Thread Group 1-2,text,true,,578,9329,2,2,http://137.43.49.25:443/api/user/picture,36,0,0
1751381996512,16,GET User Details,200,,Thread Group 1-2,text,true,,620,231,2,2,http://137.43.49.25:443/api/user,16,0,0
