POI_Name,URL
Statue Of Liberty,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npJchMXh-iyyTDXAkak9udS5pvUaIbZPqI5Se6anuv3efvIcmH1Ng15Gj0VXTUvxQtx0HbKXHmQOPa9W0vTJWQxMRNQmg5g9A7EVG9fWLlBkJ0XZ1-Cfq6w-PJ-yqQT4ay86oOg=s1360-w1360-h1020-rw
Fort Jay,https://www.nps.gov/gois/learn/historyculture/images/FJ-aerial.jpg
New York City Police Memorial,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQDHdGfM5pNZigb-aHCpH9-5TrpePvzSoEU11iZOfliQMR-wH1RS_zNGex2pY7B9GhWVzDdUMms0-t6jAcRZmvqoWFXnFvXQPrtj1z1NhX5KCUes6T9QbYgiE4SMh3m1bPuZB4=s1360-w1360-h1020
Street Car,
Gingerbread House,
Blackwell House,
Pierre Billiou House,https://images.squarespace-cdn.com/content/v1/5b24209fda02bc5bf5953ca1/1531313952679-O4NU6SSI1VHJVJY84MNB/12757024-mmmain.jpg?format=1000w
Sideshows By The Seashore,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no828kOJY-4lHCROmmIjcdNwKoAqNiB56cMe62-34GF09uQhEGy_liGx9I1LOC2UeUfJbOlpGHUPZ0qWJBe2eDEyd872kROx4sgqVHbY5qHjOX4HPIQEFTe7OTN2dXXcy-U3SlC=s1360-w1360-h1020-rw
The Tickler,https://lunaparknyc.com/app/uploads/2017/04/BB-Carousel.png
Thunder Bolt,https://lunaparknyc.com/app/uploads/2017/04/Thunderbolt-image-sub-%E2%80%93-01.png
Coney Island Cyclone,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqCPugVvXs-kWOJe20_2_kaT4513P8DTCDy9rN8xVtqcRD6i9vvB_AVdSHolVSfOQzMwqL1R74Jha-hdsffHWhe_tbXlEgnOpXQJ_xCLHkikOlKDYRe_p-jx3M-AUi9-QlwKmIMWg=s1360-w1360-h1020-rw
Wonder Wheel,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np65KF5Mm8CWYZlCgjJDAHDCTYYXFXwZqS-d5ycnz1xLJxJAyYrbQjZiWdJO03c2R3Bl_n6f5wjzDcVaD8VQsUuL0OcuSAmlwynqVf9V3PkoCw1IYT1yUu9KaQB9I2p065qAr3yEQ=s1360-w1360-h1020-rw
Big Foot,
Coney Island Hang Glider,https://lunaparknyc.com/app/uploads/2018/03/IMG_0459.jpg
Dizzy Dragons,https://images.squarespace-cdn.com/content/v1/58a8fce4f5e23130912e3619/1490471490941-Z4VR62NL1NOF8Y0JM1D5/unspecified-3.jpg?format=500w
Endeavor,https://lunaparknyc.com/app/uploads/2017/04/BB-Carousel-2.png
Pepsi Pit Stop,
Circus Coaster,https://lunaparknyc.com/app/uploads/2018/03/IMG_22141.jpg
Lynn’s Trapeze,https://lunaparknyc.com/app/uploads/2018/03/aDSC05370.jpg
Sea Serpent,
Coney’s Cones,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRQwpW_RGQgz3EAcyG7nWYvMYYz6JSwJqFovfImOwhB4pC5ksUpn83P0Gb1sY5hiGEMANUVAbUzXT2D7mw3e_ZY6Vd5WO3m_R5CAUSJpOhj63NNSnd1EUiHklI5WrCskWbRPLUwA=s1360-w1360-h1020
Speed Boat,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPQOXePCoFfEAmYzF4-xB0k86ITAZ_NyFIDEFlZ5Ym2rCWo2MyMcNS7vKwnfegeGtAGIY16FEFH2wTSlqoY7Jns00Ko1zIVYSber9Y-P643DXDZrlcVoUnQm9kiMQ822FU548=s1360-w1360-h1020
Tilt-a-whirl,
Jump Around Dune Buggy,
Magic Bikes,https://lunaparknyc.com/app/uploads/2018/03/DSC06595.jpg
Seaside Swing,https://lunaparknyc.com/app/uploads/2017/04/Seaswing-image-sub-%E2%80%93-01.png
Samba Balloon Ride,
Brooklyn Barge,
Happy Fishing,
Windstarz,https://lunaparknyc.com/app/uploads/2017/04/windstarz-squared.png
Sharks,https://cdn.wcs.org/2022/05/24/1c2hx3t4b3__Julie_Larsen_Maher_4953_Exhibits_and_Details_OWS_AQ_05_11_18.jpg
Conservation Hall,
Glover's Reef,
Sea Cliffs,https://cdn.wcs.org/2022/07/18/5ehrdcjr7j_Julie_Larsen_Maher_5877_Black_footed_Penguins_at_Feed_with_Keepers_and_Visitors_AQ_04_24_19_1.jpg
East 165th Street Steps,
The Jocker Stairs,
Nature Trek,https://cdn.wcs.org/2022/05/23/6pvj1h1qsl_Julie_Larsen_Maher_1870_Nature_Trek_with_Group_Visitors_NTK_BZ_05_21_19_1.jpg
Congo Gorilla Forest,https://cdn.wcs.org/2022/05/23/951etflvl4_Julie_Larsen_Maher_7074_Visitors_and_Children_CON_BZ_08_06_14_hr.jpg
Carter Giraffe Building,https://cdn.wcs.org/2022/05/23/8an4t590pw_Julie_Larsen_Maher_3576_Reticulated_Giraffe_and_Calf_CGB_BZ_02_20_14_1.jpg
Jungle World,https://cdn.wcs.org/2022/05/23/1sttlkqww2_Julie_Larsen_Maher_6168_White_cheeked_Gibbon_with_Visitors_JUN_BZ_02_24_17_hr.jpg
