POI_Name,URL
Ellis Island Cafe,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr146jmUqWgIaoiKCdva8cKBf-iyiHGG6hTnxBn26rSv16pk_UzBF2_yJ-YdNksxubAp2O8CDPhu4M3mdhc2GGFQmr9q7iCVCUWxL-47TJomaTV_8IH2Ia5zFGIIgbL4W60_dPFRw=s1360-w1360-h1020
Pixie Scout Canteen,
Pixie Scout Canteen,
Joe Coffee Company,
Le Pain Quotidien,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noC9GZUoyVmUcG7SG0DwksKsrfkexp9wp1Ipx00mvS65cI5TjoO9X7J7rWSfjMho4MHVTrC1iTfsLG0-6V_W5LCm6rjpgu-rDfqHGqqBLW8_kiFF_mJ99pgWHjsIM0SV8WqGpvj7Q=s1360-w1360-h1020
Cicci Di Carne,
Laughing Man,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVtiZudbOv4bQyyV-GscF12lEVJ68UX896uNXSUplRYsSOcdyl7DnREGcKjBmCd0Nx8kVlvFNy9Zb3xAWGYvqmsnKqCKa4YUEPo-xHQCZV2fjBifq6s86etsWTjP3iYDqe3YQQZw=s1360-w1360-h1020
Le Pain Quotidien,
Pick-a-bagel,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nokX07r3vEgoFc_y7wI0bIH0Qk_rPsUy94xeMGNjl7vHCP3DIri_OG57lrlNK55Yx0unpyCQUgfq1ZI6KR5PED5eyUX7VXwTARsHJ-cffQjexPesaeIe_OmDBEMjItEXZEkMLjt1w=s1360-w1360-h1020
Uhuru Design,
Sowa,
The Black Flamingo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIn3CVTXpNF7ettTAmc7_huQ-mYHMtIrkgQEGfYITd_bzirSAlIKG3W5fHtBuUUT2uD2VQnOx5nfdMkcBQdN6FQ-buPGeZi3RCrgLF00O4SsiVxRjjzzZhmnFrpkb-7b8kEmdM=s1360-w1360-h1020
Red Hook Coffee Shop,
Fort Defiance General Store,
Baked,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nod5SwESVfBWLRehjrzmpl4dL2RC6hXpsoYB5XvPWNRcuDDSzs3ekJ4t-g05a7AAWInYpce9SiiWp364H0HY6IHasyI2gaAlnZd2Gsr92piY1mUrgqmEeZh_ekkIq1K2SaQfJh8=s1360-w1360-h1020
Mat Blak,
Island Vibes,
Bored,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqUgAlccDU6-cAq8dvjIF7QdwJ1NBMyXjHaek3kR5mb7h53Mc7_p_p6DRdDbWIh8OPiU_0OnrMu4hQf3Q6YpsshLizep-AJ0DNACxPsc_xynysvllZW1v8e_fKWY6C8Z5S53OEph0ZSZbqy=s1360-w1360-h1020
Espresso Me,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nozrvMqutX_t0Vz2Q9cjhDEP8PmxZrAn4vLNqsgwQYc-n7-xIOOanqxgz4kwducHZ5lt9fmuy3H-aN6TxGKNAkzNjXltrr5u-WmVjibqGXG4IgG8dCKPBkCSyBphtCEyEV7HwY=s1360-w1360-h1020
Luo’s Events,
Fare And Folk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVJp8SAwKYDZwReqF5m-tyrthB38a7ZiNUsA6inRYsc80bv6lrcNW48vpqn2NmD9vl1tQs96l8ldB2mtZs1AXKIQvTWMqLkNEkOiHRfy3hpoNUsCnF8CMMmLQO_A_1cO2JKK0=s1360-w1360-h1020
Brooklyn Farmacy & Soda Fountain,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhqoqYJKfbgS9_UdWsf7WdAG6nHq9fcAeCTuPMw6nErm-oZHQyiuWszK54ZQojF2oIKpYpCq2M55tCnuDngSXWdSjxbQUl_o9XNV4ySglWmxPcInn8BIq-ryQGi-ueEcywXpM_=s1360-w1360-h1020
Mazzola Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrE6HSAxwe5w63d_q8GiFzomDrcpJ0xYJ6wHEOCUqtx9RMTHz4vR4andByIV0i1Q17lJyB0nUZ-mFLOW_HbLxggRiQWpmdgiMR2LSG9ScEMGJjwAhtjkoCCZ50RjZcG9WILBrCh=s1360-w1360-h1020
Swallow Cafe,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npABK0HHMIwzoOO6XWfLuJAAX55wAkHhaIDwD0rwaxT48_da0odjYXZLORhka1-MwkZHGn_c8CYSM3TsFjmVrjhsOob0pIxiHB8U64Tg_Jteo3KlwWfgYpyeQASoUv-RnAUKJ0etw=s1360-w1360-h1020
Poppy’s,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noLrixTv1PGmc5SXKb3g1iTt13LzJJXKrohchUYNNot8bSHP1dWnd6CfanUz_q78frFbt0y0K7o5LQ0juLxA506hHHGpK9w6pEio0iREPgHvy405GLZXcU2MCl0sqJXn5stvB4=s1360-w1360-h1020
Joya,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noAxyJeEAw_FmzSVJd1H0_j_K9uv-H_4u84rm3nPVaA8LgreJz0fGXTk3aRy38J7bz_ySHxQy84WmTrI4kCOUH98GjuYKkTplpSr4MyyGgnlFZ1YhxJ1Moi61rHx3on301T_F9T=s1360-w1360-h1020-rw
Octavia,https://lh3.googleusercontent.com/gps-cs-s/AC9h4norNHd956hbI98HXQf5-dpP2S7lXb0B2ihgAaZunlfyeSpjpde1z3lcF_zHaX36cql1t_iOuVe_Fjyezr5G3XWhhYEsG-88NACRg3FvzMYoQcz-O0WeT7_pFqo9SWJFTeFW565c=s1360-w1360-h1020-rw
Court Street Bagels,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdZuaDplW9DkViILI_GJbzLZ4PCLO8a6bEqxnBGX0xf6W4QQYvDq7bWqKuJPztZCjFO9tHxx78DyS5s3Xuk7QClDa5_WFlzHjZee-8QSTkph-3QulaPpQOr5Wyw9TwmAI21ara=s1360-w1360-h1020-rw
Saturn Road,https://lh3.googleusercontent.com/p/AF1QipOGmfOXthQWrS1CJ8r4TdUb_a5D74zBoayHtYRe=s1360-w1360-h1020-rw
Maman,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6a/bc/2d/devanture.jpg?w=1400&h=-1&s=1
