POI_Name,URL
Ellis Island National Museum Of Immigration,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nonHwhvgf8sU7AbG8L3rtMoKAxwE4z0pmR_dUazZvrx4KgdkOlmFsw517U38CT70Soi3TATBpi0jmUFrCtrifgczz7tkGzCnKnDqwrHG3IonJmY01HwLvDUa64ZnsOdkQgT8ojsqw=s1360-w1360-h1020-rw
Statue Of Liberty Museum,https://www.statueofliberty.org/wp-content/uploads/2020/04/Schenck-SBI-SOLM-2019_07_25-DSC_8287.jpg
Museum Of Jewish Heritage,https://lh3.googleusercontent.com/p/AF1QipNA8glEuPoAXVx1SpkfelxQl8mYg4rGz57mbgsh=s1360-w1360-h1020-rw
The Skyscraper Museum,https://lh3.googleusercontent.com/p/AF1QipN3_Fclp6S9p3PDIDJtrOGsvVHnnpf8sEcEgFiO=s1360-w1360-h1020-rw
Governors Island Welcome Center,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrbhWzfY_OailWubB3SUUBC3hOU-z6yGW3mriHIzQm3cz9AlTA-matwBzRel2fXi_QuCMK1Eww5rLWLzcM-lfobKuPbiAiVPb45Rhwwxe_QRlA3G82lktdDo3gP-UQVF8DbMF0N=s1360-w1360-h1020-rw
Commanding Officer’s Quarters,
Waterfront Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVKhilWyF4FmxoeXh9c6rOW6EoYAwlWG-q8LkHgL4TLSowvIJ7tL9KCNS4Px88ui_gdUKCdGr65b55hKF_And5PcKrgUrp8Ih2jqDThzsR3ZKnSQSDaDImFyZPLY5q8LAmiG4ysA=s1360-w1360-h1020-rw
Museum Of Reclaimed Urban Space,https://lh3.googleusercontent.com/p/AF1QipPYNXZu5pTR0jDznDdhE7snM0ax9FgQQ3j59Ovu=s1360-w1360-h1020-rw
The Morgan Library & Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqR1_LgGZbFK5IO0iD0SpnvFGuKdK9FiqGn1L79dOfixudik_W0mYueCQgPEaKOcC5u7xGcJZeWKXeIIXUAKhyiSZMn2OB-IUTX0O8nXkJIQjG0g9OX7O9OcECM7KjYD7PhsJVO_g=s1360-w1360-h1020-rw
AKC Museum Of The Dog,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrihtkcrim-L3-e7Xvx_L-T4IwduXYBkt03xLR3EJClMMi-bm2H7OW1JWg_xl_gcQfxXluFVUXvnaPICWfktr5Av9xtvrLnPBh-Z8BmWXppOwgeExj4_qPs5i42fXLSuwmliBIWQA=s1360-w1360-h1020-rw
The Bronx Museum Of The Arts,https://upload.wikimedia.org/wikipedia/commons/d/d7/Bronx_Museum_Art_jeh.JPG
The Voelker Orth Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqkL_TngTcP_ywWF0hkItPk4ewzzWu1NqEkd6g7cqiA4vktckoX7JiMOc8Hufxd0RfVJVNUZNz-xezParqhiDGZTYYxjJlCcIIa3Uhk8wcMXN8AmqKQ19rSRFSsrf1P0hE24ken=s1360-w1360-h1020-rw
Curly's Cowboy Center,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqKgnvOv6SAP4Mh30liVyIGVrkzOwpPtuDEr67e8ylLuFaFWeProVKsuaLOKvjPiKIOotlNIhvV1rmbC9bpQ_0OyCFXCqtRzQGqnfgO7Sq51S-smA1GbcCP-IahmORm_zP_Scqe=s1360-w1360-h1020-rw
Fort Schuyler,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCiSep16BNBZ2JQuYZo5vFy_fcIfNqAyO2ypfKnxkTDjBl7_I1GltzoB0mHCTtuPczB3ND9VX9ha7Vsu5Q8RVQubH72dpGM2d8M-UEKAK4uGaM0nJ1dbjJ8wDLpIvTtxJ1LINI=s1360-w1360-h1020-rw
Maritime National Museum,
Leslie-Lohman Museum Of Art,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/21/dd/1b/photo-c-kristine-eudey.jpg?w=1400&h=-1&s=1
