POI_Name,URL
Island Oyster,https://resizer.otstatic.com/v3/photos/25674001-1
Little Eva's,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwWvezZx8-sCI8MpDE3CLE098zHnjTT6u0x7LbV9ifTwhowgI-dltbLzHHkznprj6CDyZ5HPGUTXz-RedmWy-xWWuz7tUMBXiMePsxLf94xWM5BQlw9L-auBvLeByllocEd5TFZw=s1360-w1360-h1020-rw
Treadwell Park,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npO-KSE5j0-yqKWzO2mJU1jqMoqusiWRGrCfgYuYgJe4jLfsBxyJdu_s-aTVxzth3prwnIMxfhf0Jl87Tt5SH-nnsoDVYoKmguwD__iOGbaLCDMEUpjI_MOhjUi1xTU2KEEEPkd=s1360-w1360-h1020-rw
Strong Rope Breweryâ Red Hook,https://lh3.googleusercontent.com/p/AF1QipOfppE9I3U8SRjjE7GnetuIg0uFdMS4ZkMfhvaF=s1360-w1360-h1020-rw
San Pedro Inn,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogjhjI4VlNr0J-YPlp7aVSAcxZjSdYnQf78NTteATJ-bViy9DtcsNN71Yym3wkkGAPUXIk7x8qFQZbwBN1ZOtEyR-Z6YHAEYIkf1btXa3DD0PXpZEeCd2YaHOmS_Y8gjATLHTPGw=s1360-w1360-h1020-rw
The Funktion House,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKDg8KO45mEeyd7HzF1vdwrcR85pzZHec_2qwBvpi9BoNLmSHD8bHSQJ-Xd1XnQ7_ID8JKEbhYc-JArNHTKjJ4UmctWJqTHTxeutM0gDMd3sVIzSCYId6GKAmaEZY8Ovjt6h8g=s1360-w1360-h1020-rw
Keg & Lantern Red Hook,https://lh3.googleusercontent.com/p/AF1QipMYZ91OUGKnekBjb5QkqVNnclfs5GEyK8bMKLb9=s1360-w1360-h1020-rw
Jalopy Tavern,https://media.timeout.com/images/100492601/1920/1080/image.webp
Veksler's,https://lh3.googleusercontent.com/p/AF1QipMF4wDkQD9CkcP0634DejVED7VtfNIN3mAFgRlM=s1360-w1360-h1020-rw
Henry Public,https://lh3.googleusercontent.com/p/AF1QipMrevlbC1Qlro_0c3pWm1d6V1-OX2D4jUKmNm2C=s1360-w1360-h1020-rw
Lobo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqJJq9RHTXcu0qmPjnuen97rgwYlZeUTy1JvErrSklFFCSXO-Kb3SIFdiN2MB4yY_0UCEl5FJbJr2HBCZOUp_jhiHqk2tHaAj6D6Q42B7GLJSszsuFP81j_4cfCfRTS3Zxkq0aug=s1360-w1360-h1020-rw
Francis Kite Club,https://lh3.googleusercontent.com/p/AF1QipPVidpg31-u5rzZUgx17Xcv6xNk26PN_KV9wQDc=s1360-w1360-h1020-rw
Daytripper NYC,
Handcraft,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np7PEK4cjytkGxKzIaCs81wac3wMFe4yDaN6eFkb2FU8dPgr3egmtieD7Iz7hslG2FtNeovG-SdMI-eBLasBdHm5t4hvyMSTjK25YJX7FGgDZQjrvIardqL6yWTQSsCrlvN7-tf=s1360-w1360-h1020-rw
Sally's Bar,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWtSlsMwJYsA6U6w8ccOEUw0mTvfmMxE1GtjDWa0hc1BcJoPWaCk1pdusAU4kCiXASP6qJSFuwQfW-UYqh3314siYaYYCHLBBZru_2bw8rWlXxs15RAgxv_noVssN8PO6WJclLDg=s1360-w1360-h1020-rw
Paddy Reilly's Music Bar,https://lh3.googleusercontent.com/p/AF1QipM1VWtrbY-wA9bT04aQO44zRp1_BGJYDf2Hm9c=s1360-w1360-h1020-rw
Failte,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobTj9Wcftxy9alCJAczb3Wv3yrPJ0nAeIgs-N4ZSZ02lLEr1TuhErmnIZvSTQxEI7VqL-jYgfYKDKNw8jLBnDSL0xFvcw-5UYTe77dsQxISrjnqn-pZ9Xz4Vm76olfmsEcjYdN=s1360-w1360-h1020-rw
Three Jolly Pigeons,https://lh3.googleusercontent.com/proxy/BAWycNJVaKM9NscUJ5i17AgWrMnc6XKuQ-gvMTVRVZNZWM-kFttS6OMYCzasreIlkO5iNukV5nevavAoX2VEHSGP48IDdGX8AgKFRpwqNH9GcaW0DpTMNFRTsbO5xpxuzjzRgwQVRGSCuwKWjbWc69-VKhRCUCKx0dJpKQ=s1360-w1360-h1020-rw
The Crooked Knife,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqS0_RGuWhPQFnYjoIpi6LEckMJpRlDadRDBkGTNBWvJ9hggLxf0AnpvMz6LjxPN-1YwyllkuqOLtxMk3NeLRjWinmYHgi5fCVfXOuTh_aKJTJXWY1djmAcXTNM-m67sYkXD02X=s1360-w1360-h1020-rw
