POI_Name,URL
The Battery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbcXAiRvhqwNY7E7C6tc_TuRfIsUTZGjcKcKF-rCGe_AWQE5xrxe9HvI8D_DzFZ5ztE3r7TESm3iVqSAiwwIofbqTmnhLZ9T6bfECpqlJu9QsCmhqFAaN50OUh5UsFrgiBWZk9mw=s1360-w1360-h1020-rw
NY Kids Club - Battery Park,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr0Gm6x6YQcqpYiSw7itxpXPoo73LzeYCqqN8N3f6s4b0gPt1oHET8pTVGsz-666Kd28MhF6GKfbq_BTdq6AJy7HqGbpUrBwXU_dP6_SSAvtQ4D3TpmrgiCVMzwWNrm73x88GI=s1360-w1360-h1020-rw
Mother Cabrini Park,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpAqhEq2uuBPpU1FMZSUmS2dtKuvjS18oBssi8uRM7c7URPJJXMYXehJcw_feOoJakBSI3y0xmDgMuYuaZh84HY2lWzKOsbKLIm3-C_K9Lcx6zyHMNnycevjcSqyITPn9GHt3BBQ=s1360-w1360-h1020-rw
The Backyard,
Harold Ickes Playground,https://lh3.googleusercontent.com/p/AF1QipMpnbpKXkT0HIYJu1Dx_WqwjqBl7JnsudyyBh30=s1360-w1360-h1020-rw
South Brooklyn Children's Garden,
Human Compass Garden,https://s3-media0.fl.yelpcdn.com/bphoto/NMBWg7Nttb7yCZ6erwR4sw/o.jpg
Van Voorhees Playground,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqB6CMp8TBQBmgnKplQsVFMVik3oxjWnB4or_dX4oK1CKyQdf3-bDSSjwNP0dCQfd5uPK_L156JRUq0hSUBI65DRGVUXwYyy5QNe9zIDovkO_guLT8NAzm1KPnHBfYL6INeQ5Jrjw=s1360-w1360-h1020-rw
The Amazing Garden,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDSdxdE06u3eczOodXMemXGgGPG21YDMK3PApsiURyrlpFeAtAG0p6SeSDzIsIkT_6xivdvxxyMaX826gEMreitR7mt_3_niqnKpqZ7DgMzU9X__LOZ5nwx2Pb_AKNbEThgeFj=s1360-w1360-h1020-rw
Summit Street Community Garden,https://live.staticflickr.com/190/441559046_1285ea5d3d.jpg
Pirate's Cove Garden,
Park,
Cobble Hill Park,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXlG37G9GkA17FF-3YZl2NdeQBlwZDVwS3gZhy23HEYFw6FZGCzRDkeYlVznUI1N_SF_7BbjF_BiP3DaU6ckbTBfVNT-OZUT1ufppPbFbmnJyCy1Ns18LZaC6ycl8kipqxs0sv=s1360-w1360-h1020-rw
Todd Triangle,https://lh3.googleusercontent.com/p/AF1QipMr3HbodeH7uH2H8cXmRR2a3uuQnXTkpGqxKiSN=s1360-w1360-h1020-rw
Red Hook Recreation Area,https://lh3.googleusercontent.com/p/AF1QipMCVNUQEy5m0lvRBDqSKxGs9zcR3Lc07CrzEUwW=s1360-w1360-h1020-rw
