POI_Name,URL
People's Pops,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqoQXh_w1TitcZItUEIxdJtmhPg-IlML7uUWIYYejaOT9e64czYSoCIvy7abE3LYvogoEViIlVXpVV7KmWNRtSmNWK3log8iCCaZpjyIPVRgZhJiXf0nlwuO7ZVfQ4pBR3g1Sa7=s1360-w1360-h1020
Joe's Coffee Company (Governors Island),https://joecoffeecompany.com/wp-content/uploads/2019/06/Merch-1-copy-960x720.jpg
Threes Brewing,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqP7mnIq4Xzfc-fn8_DSS-KWO1VY6IcqQxD8JaIPQttcd6k2K-LuIlpicruRubhdAeDA1g22ot4qexreIq7CXsKOqAtCZygod3X6wKHKQOGZTz7f7qDIyDX4B7UFpHgQmX8KudRYA=s1360-w1360-h1020
The Meat Hook,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq9yTBDnw4NiBLrwNVN5_kmDk3HaYbl89L7kJv058lQTs55G5asPeV68bHmH7RrUGzK2OGMA-nXTbTYrilEVzj4GDBs5H3Pe-bSVwEplM0Lvhkc2FUJ5-JxzSb8j7d9sXmzU8Uy-g=s1360-w1360-h1020
Fauzia's Heavenly Delights,
White Oak Tavern,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQL2bgPLmUBhOmfi7-OOtA_t7SbzdmHkgykL7DRVSRV7GDy4bh9IPhA59V7JY4NHD5caGW3VG6zKC4N8R39oTRcECVDnsQ-GhT6xkSWea6m6qASB0cT4XlrrLVGCs2-1nhzF6Y=s1360-w1360-h1020
Lox Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/XlcX9Nr4Y4FgRZ7D6ylLPg/o.jpg
Qc Ny Spa,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noP-IoLDBXv2MyM9H1hv5HnONEglepFIEysEnonLv7cz9i3aX0o0dZ5y_eRAKWhmKghF249LdB4C-t3RL6m0jZk8W6YlDgo0tH4MYsQPJoqUNp41eg9HZcXFSsIhgk1hdUxpQaZvw=s1360-w1360-h1020
Qc Terme Ny Llc,
The Art Center Cafe,https://lmcc.net/wp-content/uploads/2023/06/There-is-Nothing-You-Can-Think.-photo-by-Martin-Seck.jpg
Er Hotpot,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaoOJAKkzkRFwO_s6cXYrl10tc5SImzQc6sSWrMpw1jUf4Pkg-9kKTawuKdtkDZdyGzg9pmHJA5Vj0q72_zMQYmlz7OtKsV2peXPI0TGfJuAkmemHuD3VURlfOAtaF-V9MrqPZ=s1360-w1360-h1020
Treadwell Park,https://lh3.googleusercontent.com/p/AF1QipMm2xPSNr_gNn02IL-dFG6ge0X9KfWv_MPwlgRu=s1360-w1360-h1020
Chipotle Mexican Grill,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqI-yFCI7I9wC3aZl62uZuZCN-hTQ_7I74LOqnH9xZ3blBPnk9qbZ4mU-bekMqU5HQFqpKF3ZIWtYsnzPpWOnrGZeZ6i7s9wf5-M1MEv1OQok_0l9sz7wkycc6X2Q_6YStZ1pXb=s1360-w1360-h1020
Bill's Bar & Burger,https://cache.marriott.com/content/dam/marriott-renditions/NYCWS/nycws-bar-0106-hor-clsc.jpg
Banquet Kitchen (Marriott),https://cache.marriott.com/is/image/marriotts7prod/nycmq-revel-rye-2363:Wide-Hor?wid=992&fit=constrain
Gitano Nyc Llc,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9e/b3/2d/gitano-style.jpg?w=1400&h=-1&s=1
Mezze On The River,https://s3-media0.fl.yelpcdn.com/bphoto/d4H8ZNKMnrlb1-7Oi268aA/o.jpg
Dunkin',https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrgaAMlYz4elKSXSvol333Q9Z3zIwhSlEGcMaDanpg9V8I2gF_-Npn8sdFQG8ONXh8PT4kauwDBrwi2T2SLAf7-OZvM2hQBQq2F9Kc8_XB_vClt0Iuql_d9APsgzfA6rEPy2zof=s1360-w1360-h1020-rw
Le Pain Quotidien,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noC9GZUoyVmUcG7SG0DwksKsrfkexp9wp1Ipx00mvS65cI5TjoO9X7J7rWSfjMho4MHVTrC1iTfsLG0-6V_W5LCm6rjpgu-rDfqHGqqBLW8_kiFF_mJ99pgWHjsIM0SV8WqGpvj7Q=s1360-w1360-h1020-rw
Bar A Vin (Le District),https://partyslate.imgix.net/photos/606174/photo-0c79dba5-818b-4984-bc3b-e386e9905483.jpg
Tartinery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqGcd9gOAkWwoajKI2e8nu0KL6dxQHWutgw20WGp91x49di8ZH5SIFetAg0VLmQMzL98-22BjsnaYi1uNoNLo4wYKF5Zs8nqaSGbVjAGbJMCXUierM3ygnHvDbti_2LhMc5xjqw=s1360-w1360-h1020-rw
Mah Ze Dahr Bakery,https://s3-media0.fl.yelpcdn.com/bphoto/KOFgoVk9PvE7gO_VNh-fdw/o.jpg
Dig Seasonal Market,https://lh3.googleusercontent.com/proxy/G8ziAQpdIzMNdp2exgCCCLcWZjf0wISdYxROszcMwuN_lu5KlLI6HD2uP8-c1QZlFQ26HSL3na_Scp_BT6Yj3_iTtPuGRMJMumcjzMeHAYzXgxPgZuEqBd02KTwytNsr_SI4ZGg3wn8XHU4kbQIchFhRQduS0JfHoSvlXg=s1360-w1360-h1020-rw
Boulangerie,
Le District Ice Cream,
Liberty Bistro,
Carrot Love Liberty Street Llc,
Sauce Pizzeria,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nroUynaLK3Ln5WWTmBrBk2EF8RNiBZfURr8WhSmroTZm4-IPZ2VtTMXLC7UGFMgOMdSSpZXmzCd0k2-QtxmGKkT16u-YNcUGLhJOJkPfdw46v4b2DhyJjGp5NK1mAMqa8LTvP9y=s1360-w1360-h1020-rw
Chop't,https://lh3.googleusercontent.com/p/AF1QipNa__dPGsL2N6O9jfTIu3ze2hzczdztxtbCGOnD=s1360-w1360-h1020-rw
Springbone Kitchen,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrhMCTUdTvAdq0hWa-Hv1gsIIePdMhzrgKfGrildKZ6G37vEeU7013-x3azEy6GxLuBD_1WjClLhEx2J9GKXcwJjgtri_FxDsFYgaMDqdB-snHEydMjGY_acqBjACxok9E2Y7w=s1360-w1360-h1020-rw
Convene,
Dot Dash (People Magazine),
Olive's,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDCbvwxQb-Hu97WxwGL2yHJe1T8lUObsEXfGJMyWXs-kt61sZ61fBx7LMUXQQsX7HvQeNhgWYIcIgoT0Lne46tgDZdp9R_23meeELu1ylRy__bVxATpe3OHcqUe-nXmsbFnxGR=s1360-w1360-h1020-rw
Patisserie,
Black Seed Bagels,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npJ_nJE90d6k4sqAgUccFYWsnh5nfeJ9grHhUBW3I7BtA3qe8utWBjVcgPFKUDJKrePR_J7ic6Emk-GggXHChvlyW0PZRH6ZqQ8IbabkCRvc4O4JqBv0PuBynereRUbja4J5gCu6g=s1360-w1360-h1020-rw
Milu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5lVU01hSDhuZ8sK7hxsOTE9gdZMddGPb41R3hArcfjIL4QE9zLXfALx6eSO5Joek8Tu6vZafV2RVlnmc3hT-DMaZ8Cb0ucv2QjGqtj9OlW8iWrUwkLZ-1A3rGTDfO8oWlmYB8Wg=s1360-w1360-h1020-rw
Naya,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-_XxDRARJOYw5QLGPIhNtV-ZH0CVM-1HmxEqj28Lr557Jq2Lnej0KajSTH67AxhKl91a2Vf52zwZ-av2zpus6vlyGaRLV_CzAjK6amT4JEAEhSp630nG6gQdJ5ZjO4gPx6eo8hA=s1360-w1360-h1020-rw
Rotisserie,
Coffee Bar,
Mighty Quinn's BBQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noF486YWey_4L2pEmao8ps1qohPGCWorHidWiMiKVNT4YeCrRZs7mxvQA4sfNkXUfU_pBSJ_5HDY48JXreASNtX8DSijV8Ek_KSWl3G_yEvyTnOHJUweuzh_qa1Ar83b--PnZcI=s1360-w1360-h1020-rw
Daily Provisions,https://lh3.googleusercontent.com/p/AF1QipOTheODbwMOCcdrJ90Adp-JnNSsxOKIVOz06VyN=s1360-w1360-h1020-rw
Starbucks,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPflOxkvXGAH0kMvuKp6BSNeItI1VsUsM3wfGScFLQay7aWPfmVqFC8GdcOsgwAv_gwG7EXStiK-73XH_BK3IWO6ZKzV4wiN2d7iaj9ltCn8RI8Y3GdIGqsngpJqaEV9VcZ7Y-=s1360-w1360-h1020-rw
Devon And Blakely,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/06/55/4a/devon-blakely.jpg?w=1800&h=-1&s=1
Cafe 1792,
Hutch & Waldo,https://lh3.googleusercontent.com/p/AF1QipMt7T0cUK185_Rzzq-MWD5FFoF3sQJkZFNcCLbF=s1360-w1360-h1020-rw
Union Square Events,
Conrad New York Downtown,
Shake Shack,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLnT8vwUjUvAddEdfhm2s1xUX6SSzW71IUp25CX23gQ1tYFUX9zx7hWxdOOVt2ub_u_rwUn2FeoxCoTnwGMD03rwejRl7asQxNBB-3qbsNhU10_emn4GY6Gh-FRRn9VprJ-OHY=s1360-w1360-h1020-rw
East Meets West by Friedmans,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npepFYG_MHsNQxOjeJEslr_XMVPSOHq78bdRtp-eQN28D32di78H1IYfSCgX4aEpCofNtdVK2KTroRVKAPRcrI5evn7fSa31F3OLEE9HO2EFE4yJBCZ1Rg1rqH-dqG2_fFSvhBn=s1360-w1360-h1020-rw
