GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
COMP47360_Team8_Backend,team8.comp47360_team8_backend.security,CustomPasswordEncoder,0,7,0,0,0,2,0,2,0,2
COMP47360_Team8_Backend,team8.comp47360_team8_backend.security,SpringSecurityConfiguration,0,368,0,16,0,56,0,21,0,13
COMP47360_Team8_Backend,team8.comp47360_team8_backend.security,CustomUserDetails,0,33,0,0,0,10,0,5,0,5
COMP47360_Team8_Backend,team8.comp47360_team8_backend.security,CustomDaoAuthenticationProvider,0,15,0,0,0,4,0,2,0,2
COMP47360_Team8_Backend,team8.comp47360_team8_backend.controller,UserPlanController,0,45,0,0,0,9,0,7,0,7
COMP47360_Team8_Backend,team8.comp47360_team8_backend.controller,UserController,0,105,0,0,0,26,0,8,0,8
COMP47360_Team8_Backend,team8.comp47360_team8_backend.controller,POITypeController,0,8,0,0,0,2,0,2,0,2
COMP47360_Team8_Backend,team8.comp47360_team8_backend.controller,ZoneController,0,44,0,4,0,9,0,5,0,3
COMP47360_Team8_Backend,team8.comp47360_team8_backend.controller,POIController,0,45,0,0,0,7,0,3,0,3
COMP47360_Team8_Backend,team8.comp47360_team8_backend.controller,WeatherController,0,60,0,0,0,9,0,2,0,2
COMP47360_Team8_Backend,team8.comp47360_team8_backend.exception,UserAlreadyExistException,0,5,0,0,0,2,0,1,0,1
COMP47360_Team8_Backend,team8.comp47360_team8_backend.exception,EmailAlreadyExistException,0,5,0,0,0,2,0,1,0,1
COMP47360_Team8_Backend,team8.comp47360_team8_backend.exception,UserPlanNotFoundException,0,5,0,0,0,2,0,1,0,1
COMP47360_Team8_Backend,team8.comp47360_team8_backend.exception,UnauthorizedAccessException,0,4,0,0,0,2,0,1,0,1
COMP47360_Team8_Backend,team8.comp47360_team8_backend.exception,POITypeNotFoundException,0,5,0,0,0,2,0,1,0,1
COMP47360_Team8_Backend,team8.comp47360_team8_backend.dto,POIZoneBusynessDTO,0,26,0,0,0,12,0,6,0,6
COMP47360_Team8_Backend,team8.comp47360_team8_backend.dto,POIBusynessDistanceRecommendationDTO,0,46,0,0,0,20,0,10,0,10
COMP47360_Team8_Backend,team8.comp47360_team8_backend.dto,RecommendationInputDTO,0,86,0,0,0,36,0,18,0,18
COMP47360_Team8_Backend,team8.comp47360_team8_backend.service.impl,POIServiceImpl,0,1548,0,106,0,280,0,64,0,11
COMP47360_Team8_Backend,team8.comp47360_team8_backend.service.impl,UserServiceImpl,0,729,0,94,0,149,0,65,0,18
COMP47360_Team8_Backend,team8.comp47360_team8_backend.service.impl,POIServiceImpl.TimeGap,0,24,0,0,0,8,0,4,0,4
COMP47360_Team8_Backend,team8.comp47360_team8_backend.service.impl,ZoneServiceImpl,0,188,0,10,0,42,0,9,0,4
COMP47360_Team8_Backend,team8.comp47360_team8_backend.service.impl,UserPlanServiceImpl,0,186,0,8,0,32,0,16,0,12
COMP47360_Team8_Backend,team8.comp47360_team8_backend.service.impl,POITypeServiceImpl,0,7,0,0,0,2,0,2,0,2
COMP47360_Team8_Backend,team8.comp47360_team8_backend.model,UserPlan,0,138,0,0,0,56,0,22,0,22
COMP47360_Team8_Backend,team8.comp47360_team8_backend.model,User,0,109,0,0,0,40,0,17,0,17
COMP47360_Team8_Backend,team8.comp47360_team8_backend.model,POI,0,130,0,0,0,53,0,22,0,22
COMP47360_Team8_Backend,team8.comp47360_team8_backend.model,POIType,0,46,0,0,0,17,0,8,0,8
COMP47360_Team8_Backend,team8.comp47360_team8_backend.model,Zone,0,26,0,0,0,12,0,6,0,6
COMP47360_Team8_Backend,team8.comp47360_team8_backend,Comp47360Team8BackendApplication,0,8,0,0,0,3,0,2,0,2
